bbl loader

 FFT 1024
X[269] -> REAL: -39.294 , IMG: 984.706 
X[270] -> REAL: -42.196 , IMG: 981.804 
X[271] -> REAL: -45.081 , IMG: 978.919 
X[272] -> REAL: -47.950 , IMG: 976.050 
X[273] -> REAL: -50.803 , IMG: 973.197 
X[274] -> REAL: -53.641 , IMG: 970.359 
X[275] -> REAL: -56.463 , IMG: 967.537 
X[276] -> REAL: -59.270 , IMG: 964.730 
X[277] -> REAL: -62.061 , IMG: 961.939 
X[278] -> REAL: -64.837 , IMG: 959.163 
X[279] -> REAL: -67.599 , IMG: 956.401 
X[280] -> REAL: -70.346 , IMG: 953.654 
X[281] -> REAL: -73.078 , IMG: 950.922 
X[282] -> REAL: -75.796 , IMG: 948.204 
X[283] -> REAL: -78.500 , IMG: 945.500 
X[284] -> REAL: -81.190 , IMG: 942.810 
X[285] -> REAL: -83.866 , IMG: 940.134 
X[286] -> REAL: -86.528 , IMG: 937.472 
X[287] -> REAL: -89.177 , IMG: 934.823 
X[288] -> REAL: -91.812 , IMG: 932.188 
X[289] -> REAL: -94.435 , IMG: 929.565 
X[290] -> REAL: -97.044 , IMG: 926.956 
X[291] -> REAL: -99.640 , IMG: 924.360 
X[292] -> REAL: -102.223 , IMG: 921.777 
X[293] -> REAL: -104.794 , IMG: 919.206 
X[294] -> REAL: -107.352 , IMG: 916.648 
X[295] -> REAL: -109.898 , IMG: 914.102 
X[296] -> REAL: -112.431 , IMG: 911.569 
X[297] -> REAL: -114.953 , IMG: 909.047 
X[298] -> REAL: -117.462 , IMG: 906.538 
X[299] -> REAL: -119.960 , IMG: 904.040 
X[300] -> REAL: -122.446 , IMG: 901.554 
X[301] -> REAL: -124.920 , IMG: 899.080 
X[302] -> REAL: -127.383 , IMG: 896.617 
X[303] -> REAL: -129.835 , IMG: 894.165 
X[304] -> REAL: -132.275 , IMG: 891.725 
X[305] -> REAL: -134.704 , IMG: 889.296 
X[306] -> REAL: -137.123 , IMG: 886.877 
X[307] -> REAL: -139.530 , IMG: 884.470 
X[308] -> REAL: -141.927 , IMG: 882.073 
X[309] -> REAL: -144.313 , IMG: 879.687 
X[310] -> REAL: -146.689 , IMG: 877.311 
X[311] -> REAL: -149.054 , IMG: 874.946 
X[312] -> REAL: -151.409 , IMG: 872.591 
X[313] -> REAL: -153.754 , IMG: 870.246 
X[314] -> REAL: -156.089 , IMG: 867.911 
X[315] -> REAL: -158.413 , IMG: 865.587 
X[316] -> REAL: -160.729 , IMG: 863.271 
X[317] -> REAL: -163.034 , IMG: 860.966 
X[318] -> REAL: -165.330 , IMG: 858.670 
X[319] -> REAL: -167.616 , IMG: 856.384 
X[320] -> REAL: -169.893 , IMG: 854.107 
X[321] -> REAL: -172.160 , IMG: 851.840 
X[322] -> REAL: -174.418 , IMG: 849.582 
X[323] -> REAL: -176.667 , IMG: 847.333 
X[324] -> REAL: -178.907 , IMG: 845.093 
X[325] -> REAL: -181.139 , IMG: 842.861 
X[326] -> REAL: -183.361 , IMG: 840.639 
X[327] -> REAL: -185.575 , IMG: 838.425 
X[328] -> REAL: -187.780 , IMG: 836.220 
X[329] -> REAL: -189.976 , IMG: 834.024 
X[330] -> REAL: -192.164 , IMG: 831.836 
X[331] -> REAL: -194.344 , IMG: 829.656 
X[332] -> REAL: -196.515 , IMG: 827.485 
X[333] -> REAL: -198.678 , IMG: 825.322 
X[334] -> REAL: -200.833 , IMG: 823.167 
X[335] -> REAL: -202.980 , IMG: 821.020 
X[336] -> REAL: -205.119 , IMG: 818.881 
X[337] -> REAL: -207.250 , IMG: 816.750 
X[338] -> REAL: -209.374 , IMG: 814.626 
X[339] -> REAL: -211.489 , IMG: 812.511 
X[340] -> REAL: -213.598 , IMG: 810.402 
X[341] -> REAL: -215.698 , IMG: 808.302 
X[342] -> REAL: -217.791 , IMG: 806.209 
X[343] -> REAL: -219.877 , IMG: 804.123 
X[344] -> REAL: -221.956 , IMG: 802.044 
X[345] -> REAL: -224.027 , IMG: 799.973 
X[346] -> REAL: -226.091 , IMG: 797.909 
X[347] -> REAL: -228.148 , IMG: 795.852 
X[348] -> REAL: -230.198 , IMG: 793.802 
X[349] -> REAL: -232.241 , IMG: 791.759 
X[350] -> REAL: -234.278 , IMG: 789.722 
X[351] -> REAL: -236.307 , IMG: 787.693 
X[352] -> REAL: -238.330 , IMG: 785.670 
X[353] -> REAL: -240.347 , IMG: 783.653 
X[354] -> REAL: -242.356 , IMG: 781.644 
X[355] -> REAL: -244.360 , IMG: 779.640 
X[356] -> REAL: -246.356 , IMG: 777.644 
X[357] -> REAL: -248.347 , IMG: 775.653 
X[358] -> REAL: -250.331 , IMG: 773.669 
X[359] -> REAL: -252.309 , IMG: 771.691 
X[360] -> REAL: -254.281 , IMG: 769.719 
X[361] -> REAL: -256.247 , IMG: 767.753 
X[362] -> REAL: -258.206 , IMG: 765.794 
X[363] -> REAL: -260.160 , IMG: 763.840 
X[364] -> REAL: -262.108 , IMG: 761.892 
X[365] -> REAL: -264.050 , IMG: 759.950 
X[366] -> REAL: -265.986 , IMG: 758.014 
X[367] -> REAL: -267.917 , IMG: 756.083 
X[368] -> REAL: -269.842 , IMG: 754.158 
X[369] -> REAL: -271.761 , IMG: 752.239 
X[370] -> REAL: -273.675 , IMG: 750.325 
X[371] -> REAL: -275.584 , IMG: 748.416 
X[372] -> REAL: -277.487 , IMG: 746.513 
X[373] -> REAL: -279.384 , IMG: 744.616 
X[374] -> REAL: -281.277 , IMG: 742.723 
X[375] -> REAL: -283.164 , IMG: 740.836 
X[376] -> REAL: -285.046 , IMG: 738.954 
X[377] -> REAL: -286.923 , IMG: 737.077 
X[378] -> REAL: -288.795 , IMG: 735.205 
X[379] -> REAL: -290.662 , IMG: 733.338 
X[380] -> REAL: -292.523 , IMG: 731.477 
X[381] -> REAL: -294.380 , IMG: 729.620 
X[382] -> REAL: -296.233 , IMG: 727.767 
X[383] -> REAL: -298.080 , IMG: 725.920 
X[384] -> REAL: -299.923 , IMG: 724.077 
X[385] -> REAL: -301.761 , IMG: 722.239 
X[386] -> REAL: -303.594 , IMG: 720.406 
X[387] -> REAL: -305.423 , IMG: 718.577 
X[388] -> REAL: -307.247 , IMG: 716.753 
X[389] -> REAL: -309.067 , IMG: 714.933 
X[390] -> REAL: -310.882 , IMG: 713.118 
X[391] -> REAL: -312.693 , IMG: 711.307 
X[392] -> REAL: -314.500 , IMG: 709.500 
X[393] -> REAL: -316.302 , IMG: 707.698 
X[394] -> REAL: -318.100 , IMG: 705.900 
X[395] -> REAL: -319.894 , IMG: 704.106 
X[396] -> REAL: -321.684 , IMG: 702.316 
X[397] -> REAL: -323.470 , IMG: 700.530 
X[398] -> REAL: -325.252 , IMG: 698.748 
X[399] -> REAL: -327.030 , IMG: 696.970 
X[400] -> REAL: -328.803 , IMG: 695.197 
X[401] -> REAL: -330.573 , IMG: 693.427 
X[402] -> REAL: -332.340 , IMG: 691.660 
X[403] -> REAL: -334.102 , IMG: 689.898 
X[404] -> REAL: -335.860 , IMG: 688.140 
X[405] -> REAL: -337.615 , IMG: 686.385 
X[406] -> REAL: -339.366 , IMG: 684.634 
X[407] -> REAL: -341.114 , IMG: 682.886 
X[408] -> REAL: -342.858 , IMG: 681.142 
X[409] -> REAL: -344.599 , IMG: 679.401 
X[410] -> REAL: -346.335 , IMG: 677.665 
X[411] -> REAL: -348.069 , IMG: 675.931 
X[412] -> REAL: -349.799 , IMG: 674.201 
X[413] -> REAL: -351.526 , IMG: 672.474 
X[414] -> REAL: -353.249 , IMG: 670.751 
X[415] -> REAL: -354.970 , IMG: 669.030 
X[416] -> REAL: -356.686 , IMG: 667.314 
X[417] -> REAL: -358.400 , IMG: 665.600 
X[418] -> REAL: -360.111 , IMG: 663.889 
X[419] -> REAL: -361.818 , IMG: 662.182 
X[420] -> REAL: -363.523 , IMG: 660.477 
X[421] -> REAL: -365.224 , IMG: 658.776 
X[422] -> REAL: -366.923 , IMG: 657.077 
X[423] -> REAL: -368.618 , IMG: 655.382 
X[424] -> REAL: -370.311 , IMG: 653.689 
X[425] -> REAL: -372.000 , IMG: 652.000 
X[426] -> REAL: -373.687 , IMG: 650.313 
X[427] -> REAL: -375.371 , IMG: 648.629 
X[428] -> REAL: -377.052 , IMG: 646.948 
X[429] -> REAL: -378.731 , IMG: 645.269 
X[430] -> REAL: -380.407 , IMG: 643.593 
X[431] -> REAL: -382.080 , IMG: 641.920 
X[432] -> REAL: -383.751 , IMG: 640.249 
X[433] -> REAL: -385.419 , IMG: 638.581 
X[434] -> REAL: -387.084 , IMG: 636.916 
X[435] -> REAL: -388.747 , IMG: 635.253 
X[436] -> REAL: -390.408 , IMG: 633.592 
X[437] -> REAL: -392.066 , IMG: 631.934 
X[438] -> REAL: -393.722 , IMG: 630.278 
X[439] -> REAL: -395.375 , IMG: 628.625 
X[440] -> REAL: -397.027 , IMG: 626.973 
X[441] -> REAL: -398.675 , IMG: 625.325 
X[442] -> REAL: -400.322 , IMG: 623.678 
X[443] -> REAL: -401.967 , IMG: 622.033 
X[444] -> REAL: -403.609 , IMG: 620.391 
X[445] -> REAL: -405.249 , IMG: 618.751 
X[446] -> REAL: -406.887 , IMG: 617.113 
X[447] -> REAL: -408.523 , IMG: 615.477 
X[448] -> REAL: -410.157 , IMG: 613.843 
X[449] -> REAL: -411.789 , IMG: 612.211 
X[450] -> REAL: -413.419 , IMG: 610.581 
X[451] -> REAL: -415.047 , IMG: 608.953 
X[452] -> REAL: -416.673 , IMG: 607.327 
X[453] -> REAL: -418.297 , IMG: 605.703 
X[454] -> REAL: -419.920 , IMG: 604.080 
X[455] -> REAL: -421.541 , IMG: 602.459 
X[456] -> REAL: -423.160 , IMG: 600.840 
X[457] -> REAL: -424.777 , IMG: 599.223 
X[458] -> REAL: -426.392 , IMG: 597.608 
X[459] -> REAL: -428.006 , IMG: 595.994 
X[460] -> REAL: -429.619 , IMG: 594.381 
X[461] -> REAL: -431.229 , IMG: 592.771 
