bbl loader

 FFT 1024
X[321] -> REAL: 0.000 , IMG: 0.000 
X[322] -> REAL: 1046.000 , IMG: 1004.000 
X[323] -> REAL: 0.000 , IMG: 0.000 
X[324] -> REAL: -178.907 , IMG: 845.093 
X[325] -> REAL: 0.000 , IMG: 0.000 
X[326] -> REAL: 1302.000 , IMG: 748.000 
X[327] -> REAL: 0.000 , IMG: 0.000 
X[328] -> REAL: -187.780 , IMG: 836.220 
X[329] -> REAL: 0.000 , IMG: 0.000 
X[330] -> REAL: 1174.000 , IMG: 876.000 
X[331] -> REAL: 0.000 , IMG: 0.000 
X[332] -> REAL: -196.515 , IMG: 827.485 
X[333] -> REAL: 0.000 , IMG: 0.000 
X[334] -> REAL: 1430.000 , IMG: 620.000 
X[335] -> REAL: 0.000 , IMG: 0.000 
X[336] -> REAL: -205.119 , IMG: 818.881 
X[337] -> REAL: 0.000 , IMG: 0.000 
X[338] -> REAL: 1110.000 , IMG: 940.000 
X[339] -> REAL: 0.000 , IMG: 0.000 
X[340] -> REAL: -213.598 , IMG: 810.402 
X[341] -> REAL: 0.000 , IMG: 0.000 
X[342] -> REAL: 1366.000 , IMG: 684.000 
X[343] -> REAL: 0.000 , IMG: 0.000 
X[344] -> REAL: -221.956 , IMG: 802.044 
X[345] -> REAL: 0.000 , IMG: 0.000 
X[346] -> REAL: 1238.000 , IMG: 812.000 
X[347] -> REAL: 0.000 , IMG: 0.000 
X[348] -> REAL: -230.198 , IMG: 793.802 
X[349] -> REAL: 0.000 , IMG: 0.000 
X[350] -> REAL: 1494.000 , IMG: 556.000 
X[351] -> REAL: 0.000 , IMG: 0.000 
X[352] -> REAL: -238.330 , IMG: 785.670 
X[353] -> REAL: 0.000 , IMG: 0.000 
X[354] -> REAL: 1078.000 , IMG: 972.000 
X[355] -> REAL: 0.000 , IMG: 0.000 
X[356] -> REAL: -246.356 , IMG: 777.644 
X[357] -> REAL: 0.000 , IMG: 0.000 
X[358] -> REAL: 1334.000 , IMG: 716.000 
X[359] -> REAL: 0.000 , IMG: 0.000 
X[360] -> REAL: -254.281 , IMG: 769.719 
X[361] -> REAL: 0.000 , IMG: 0.000 
X[362] -> REAL: 1206.000 , IMG: 844.000 
X[363] -> REAL: 0.000 , IMG: 0.000 
X[364] -> REAL: -262.108 , IMG: 761.892 
X[365] -> REAL: 0.000 , IMG: 0.000 
X[366] -> REAL: 1462.000 , IMG: 588.000 
X[367] -> REAL: 0.000 , IMG: 0.000 
X[368] -> REAL: -269.842 , IMG: 754.158 
X[369] -> REAL: 0.000 , IMG: 0.000 
X[370] -> REAL: 1142.000 , IMG: 908.000 
X[371] -> REAL: 0.000 , IMG: 0.000 
X[372] -> REAL: -277.487 , IMG: 746.513 
X[373] -> REAL: 0.000 , IMG: 0.000 
X[374] -> REAL: 1398.000 , IMG: 652.000 
X[375] -> REAL: 0.000 , IMG: 0.000 
X[376] -> REAL: -285.046 , IMG: 738.954 
X[377] -> REAL: 0.000 , IMG: 0.000 
X[378] -> REAL: 1270.000 , IMG: 780.000 
X[379] -> REAL: 0.000 , IMG: 0.000 
X[380] -> REAL: -292.523 , IMG: 731.477 
X[381] -> REAL: 0.000 , IMG: 0.000 
X[382] -> REAL: 1526.000 , IMG: 524.000 
X[383] -> REAL: 0.000 , IMG: 0.000 
X[384] -> REAL: -299.923 , IMG: 724.077 
X[385] -> REAL: 0.000 , IMG: 0.000 
X[386] -> REAL: 1038.000 , IMG: 1012.000 
X[387] -> REAL: 0.000 , IMG: 0.000 
X[388] -> REAL: -307.247 , IMG: 716.753 
X[389] -> REAL: 0.000 , IMG: 0.000 
X[390] -> REAL: 1294.000 , IMG: 756.000 
X[391] -> REAL: 0.000 , IMG: 0.000 
X[392] -> REAL: -314.500 , IMG: 709.500 
X[393] -> REAL: 0.000 , IMG: 0.000 
X[394] -> REAL: 1166.000 , IMG: 884.000 
